year,stadium,absorp
2012,うまかな・よかなスタジアム,0.18571006944444457
2012,とりぎんバードスタジアム,0.1953886775192832
2012,エコパスタジアム,0.48554042458422586
2012,エディオンスタジアム広島,0.354410588235294
2012,キンチョウスタジアム,0.6059479037367766
2012,ケーズデンキスタジアム水戸,0.33107539682539683
2012,シティライトスタジアム,0.4093625000000002
2012,デンカビッグスワンスタジアム,0.5914462522597692
2012,ニッパツ三ツ沢球技場,0.42336302406581106
2012,ニンジニアスタジアム,0.23296218847066305
2012,ノエビアスタジアム神戸,0.4890191490773929
2012,フクダ電子アリーナ,0.5016550836550836
2012,ベストアメニティスタジアム,0.5203464971125238
2012,ヤマハスタジアム（磐田）,0.7567117265633586
2012,ヤンマースタジアム長居,0.5461735262952429
2012,ユアテックスタジアム仙台,0.8428963135980503
2012,レベルファイブスタジアム,0.24757979245414416
2012,万博記念競技場,0.7037310924369748
2012,京都市西京極総合運動公園陸上競技場兼球技場,0.35338061006411503
2012,佐賀県総合運動場陸上競技場,0.4987843137254902
2012,北九州市立本城陸上競技場,0.3280122478318911
2012,名古屋市瑞穂陸上競技場,0.6403249999999999
2012,味の素スタジアム,0.29642848208925354
2012,味の素フィールド西が丘,0.41078809589418575
2012,国立競技場,0.37144530097373857
2012,埼玉スタジアム２００２,0.5750965001385173
2012,大分銀行ドーム,0.24301666666666666
2012,富山県総合運動公園陸上競技場,0.13164922206506363
2012,山梨中銀スタジアム,0.61215406162465
2012,岐阜メモリアルセンター長良川球技メドウ,0.7049157303370785
2012,岐阜メモリアルセンター長良川競技場,0.2342294117647059
2012,岡山県津山陸上競技場,0.3946
2012,日産スタジアム,0.3567468382682618
2012,日立柏サッカー場,0.7926640171998174
2012,札幌ドーム,0.3793918230016313
2012,札幌厚別公園競技場,0.4026357943789138
2012,松本平広域公園総合球技場,0.4672788315169177
2012,栃木県グリーンスタジアム,0.2469965085270749
2012,正田醤油スタジアム群馬,0.22618538417401274
2012,熊本市水前寺競技場,0.3552666666666667
2012,熊谷スポーツ文化公園陸上競技場,0.32744588744588743
2012,町田市立陸上競技場,0.348000580945004
2012,県立カシマサッカースタジアム,0.37766184847539486
2012,神戸総合運動公園ユニバー記念競技場,0.2909111111111111
2012,福島県営あづま陸上競技場,0.2463333333333333
2012,等々力陸上競技場,0.6712024123633623
2012,豊田スタジアム,0.5255
2012,駒沢オリンピック公園総合運動場陸上競技場,0.2452607029818424
2012,鳴門・大塚スポーツパーク　ポカリスエットスタジアム,0.20323150903178405
2012,鹿児島県立鴨池陸上競技場 ,0.3623959064914217
2012,ＩＡＩスタジアム日本平,0.7207053399733739
2012,ＮＡＣＫ５スタジアム大宮,0.6843709935897434
2012,ＮＤソフトスタジアム山形,0.3454438510328046
2012,Ｓｈｏｎａｎ　ＢＭＷスタジアム平塚,0.4537590665405234
2013,うまかな・よかなスタジアム,0.19904375
2013,とりぎんバードスタジアム,0.2555235778587616
2013,エコパスタジアム,0.40744561693096737
2013,エディオンスタジアム広島,0.3241835294117647
2013,キンチョウスタジアム,0.7448429680954646
2013,ケーズデンキスタジアム水戸,0.3858611111111114
2013,シティライトスタジアム,0.42870476190476203
2013,デンカビッグスワンスタジアム,0.6173077457933528
2013,ニッパツ三ツ沢球技場,0.45581838949814607
2013,ニンジニアスタジアム,0.25360138919460956
2013,ノエビアスタジアム神戸,0.3820523031992566
2013,フクダ電子アリーナ,0.5407413127413127
2013,ベストアメニティスタジアム,0.4910479667571399
2013,ヤマハスタジアム（磐田）,0.6806709528519618
2013,ヤンマースタジアム長居,0.4923822569851097
2013,ユアテックスタジアム仙台,0.7475055854574996
2013,レベルファイブスタジアム,0.2538289614476292
2013,万博記念競技場,0.5850249433106574
2013,京都市西京極総合運動公園陸上競技場兼球技場,0.3888745871381386
2013,北九州市立本城陸上競技場,0.31116681136285135
2013,名古屋市瑞穂陸上競技場,0.6187571428571427
2013,味の素スタジアム,0.2853228065871782
2013,味の素フィールド西が丘,0.649903554698264
2013,国立競技場,0.4345123930362939
2013,埼玉スタジアム２００２,0.582418505863884
2013,大分銀行ドーム,0.29787794117647065
2013,大垣市浅中公園総合グラウンド陸上競技場,0.7834883720930232
2013,宮城スタジアム,0.3497242179390633
