stadium,absorp
うまかな・よかなスタジアム,0.20175065104166687
とりぎんバードスタジアム,0.22545612768902257
エコパスタジアム,0.4543025015229225
エディオンスタジアム広島,0.32988418604651154
キンチョウスタジアム,0.6844431424495622
ケーズデンキスタジアム水戸,0.3644521604938275
シティライトスタジアム,0.41795849056603723
デンカビッグスワンスタジアム,0.5946791624451203
ニッパツ三ツ沢球技場,0.4270329148871917
ニンジニアスタジアム,0.24699421020684498
ノエビアスタジアム神戸,0.45037516744505973
フクダ電子アリーナ,0.5147177177177182
ベストアメニティスタジアム,0.520312843546817
ヤマハスタジアム（磐田）,0.6774270898899981
ヤンマースタジアム長居,0.5445490608737
ユアテックスタジアム仙台,0.7773582148332906
レベルファイブスタジアム,0.24667474281887247
万博記念競技場,0.6404710144927536
京都市西京極総合運動公園陸上競技場兼球技場,0.3725995725665436
佐賀県総合運動場陸上競技場,0.4987843137254902
北九州市立本城陸上競技場,0.32017505645225697
名古屋市瑞穂陸上競技場,0.6253916666666668
味の素スタジアム,0.2921654258377807
味の素フィールド西が丘,0.48267429043813725
国立競技場,0.39585484902134355
埼玉スタジアム２００２,0.5711529334452923
大分銀行ドーム,0.2481850000000001
大垣市浅中公園総合グラウンド陸上競技場,0.7834883720930232
宮城スタジアム,0.3497242179390633
富山県総合運動公園陸上競技場,0.160120278694536
山梨中銀スタジアム,0.6344812834224601
岐阜メモリアルセンター長良川球技メドウ,0.7049157303370785
岐阜メモリアルセンター長良川競技場,0.2745679999999999
岡山県津山陸上競技場,0.3946
日産スタジアム,0.3824964885784251
日立柏サッカー場,0.7393866801645805
札幌ドーム,0.34059441272430657
札幌厚別公園競技場,0.36851123731857693
松本平広域公園総合球技場,0.5234940765436936
栃木県グリーンスタジアム,0.29207355285038256
正田醤油スタジアム群馬,0.22866489179087537
熊本市水前寺競技場,0.30240000000000006
熊谷スポーツ文化公園陸上競技場,0.3993019480519481
町田市立陸上競技場,0.348000580945004
県立カシマサッカースタジアム,0.38830136749258737
神戸総合運動公園ユニバー記念競技場,0.2681777777777778
福島県営あづま陸上競技場,0.2463333333333333
等々力陸上競技場,0.6373117584764783
豊田スタジアム,0.5156089999999999
長崎市総合運動公園かきどまり陸上競技場,0.24625
長崎県立総合運動公園陸上競技場,0.27138076657117466
香川県立丸亀競技場,0.15050179474031206
駒沢オリンピック公園総合運動場陸上競技場,0.2834416125270698
鳴門・大塚スポーツパーク　ポカリスエットスタジアム,0.24859499923613604
鹿児島県立鴨池陸上競技場 ,0.3049229122771814
ＩＡＩスタジアム日本平,0.6953269069572509
ＮＡＣＫ５スタジアム大宮,0.6950913461538467
ＮＤソフトスタジアム山形,0.3261736280710544
Ｓｈｏｎａｎ　ＢＭＷスタジアム平塚,0.5397072847682115
